Year,Price
1991,7523.28413
1992,6034.925856
1993,4804.473782
1994,5484.630246
1995,5147.629742
1996,4335.650753
1997,3712.776428
1998,2987.071865
1999,2262.542374
2000,2197.811578
2001,1534.049232
2002,1099.082237
2003,849.8140071
2004,760.3994969
2005,655.5441899
2006,561.4106858
2007,535.7130245
2008,561.705624
2009,500.3767042
2010,449.850591
2011,428.5125549
2012,440.8423482
2013,400.9813997
2014,354.7289696
2015,271.1440712
2016,243.5352999
2017,190.3524168
2018,181.7060047